Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN220,07/07/2024,20:00,22:15,02h 15m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN240,07/07/2024,07:00,09:15,02h 15m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN244,07/07/2024,09:00,11:20,02h 20m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN246,07/07/2024,11:00,13:15,02h 15m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN248,07/07/2024,13:00,15:15,02h 15m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN250,07/07/2024,15:00,17:15,02h 15m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN252,07/07/2024,16:40,19:10,02h 30m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN254,07/07/2024,17:00,19:15,02h 15m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,07/07/2024,20:45,22:50,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN258,07/07/2024,19:00,21:15,02h 15m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,07/07/2024,20:55,23:00,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN262,07/07/2024,19:30,21:40,02h 10m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN272,07/07/2024,15:30,17:45,02h 15m,"3,546,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,07/07/2024,06:45,08:30,01h 45m,"3,546,000 VND",Phổ thông tiêu chuẩn
